campaign_id,ad_group_id,keyword_id,product_targeting_id,campaign_name,ad_group_name,keyword_text,match_type,impressions,clicks,spend,sales,orders,roas,acos,bid
200171414843593,176708662571572,172986313438363,,BOX-SP/BROAD-(white- gift for girl),Ad group 1,gifts for girls,BROAD,74148,6213,3890.4,12384.99,228,3.18,31.4,0.4
292848303399755,291025799038676,346343660611720,,FRESH- VIDEO / BROAD (Jenna),,gift for 14 year old girl,broad,50293,3350,2208.08,5691.45,110,2.58,38.8,0.62
501467313119574,300902942853300,373146822995123,,"BOX-SBS/BROAD (Hunter, By Age)",,girls gifts age 8-10,broad,103377,4866,1801.86,5882.66,112,3.26,30.6,0.3
488973733209950,416387480620841,317044932069631,,"BOX-SP/AUTO (White, Discovery)",LOLLIBOX WHITE - AUTO,loose-match,Automatic,10308,2184,1221.92,6051.95,108,4.95,20.2,0.3
369056697567588,519847279578167,485639729786108,,ME- VIDEO/ BROAD,,journal kit for girls,broad,17740,2671,1173.28,5354.21,153,4.56,21.9,0.57
446868628489343,302639242934323,550546483027580,,FRESH-VIDEO/ BROAD,,birthday gifts teen girls,broad,15931,1456,997.5,4494.26,88,4.51,22.2,0.72
533357357724374,305636552823389,478888903453268,,BOX-VIDEO/BROAD (2 KW),,gifts for 9 year old girls,broad,10057,1554,989.86,2696.67,50,2.72,36.7,0.69
442375483215343,559795205869985,418904115954277,,BOX -EXACT/VIDEO (teen girl gifts trendy stuff),,teen girl gifts trendy stuff,exact,61853,1397,963.7,1677.4,31,1.74,57.5,0.8
292848303399755,291025799038676,507278582035908,,FRESH- VIDEO / BROAD (Jenna),,gift for 13 year old girl,broad,23977,1515,945.42,3951.44,80,4.18,23.9,0.63
292848303399755,291025799038676,504187420009327,,FRESH- VIDEO / BROAD (Jenna),,birthday gift for 13 year old girl,broad,12231,1127,768.59,2687.93,53,3.5,28.6,0.62
527422818407259,436092532090167,400617833444461,,"ME-SP/AUTO (discovery,Mint)",ME-AUTO,substitutes,Automatic,44867,1914,754.56,2901.37,84,3.85,26.0,0.39
501467313119574,300902942853300,491299818636882,,"BOX-SBS/BROAD (Hunter, By Age)",,tween birthday gifts for girls,broad,15095,1294,747.65,1587.26,31,2.12,47.1,0.3
71460479938206,437521225071921,465430143876365,,"BOX-SP/EXACT (Teen Girl Gifts, Boost)",Teen Girl Gifts - Exact,teen girl gifts,EXACT,45912,489,699.61,807.0,15,1.15,86.7,0.7
531456687555062,511166077504094,374689559876609,374689559876609,"ME-SP/PT (Conquest, Competitors)",ME- COMPETITORS (with video),"asin=""B0BY8C82LG""",ASIN,63273,806,649.43,2570.13,78,3.96,25.3,0.45
527422818407259,436092532090167,304542923249526,,ME-AUTO,ME-AUTO,loose-match,Automatic,5835,1129,597.89,2903.12,83,4.86,20.6,0.42
369056697567588,519847279578167,531957142326243,,ME- VIDEO/ BROAD,,tween journal diary,broad,3039,1147,544.44,2672.19,79,4.91,20.4,0.61
435692261851957,459036452038723,400745012957415,,"ME-VIDEO/EXACT ((Boost, Girls journal)",,journal for girls,exact,12102,799,542.02,1913.42,58,3.53,28.3,0.55
512157925768567,387259046659802,453758662659208,,"ME-SP/BROAD(10 year old girl gifts, Lollime Mint)",,10 year old girl gifts,BROAD,49297,863,531.97,2157.01,54,4.05,24.7,0.6
424256831364046,395333707404963,325490399101160,,BOX- STORE/ BROAD,,gifts for tween girls,broad,114417,2884,503.33,1296.87,28,2.58,38.8,0.2
424256831364046,395333707404963,458715003011511,,BOX- STORE/ BROAD,,birthday surprise box for girls,broad,41699,1574,486.4,1460.7,28,3.0,33.3,0.4
527422818407259,436092532090167,373381078695862,,ME-AUTO,ME-AUTO,close-match,Automatic,17460,862,482.13,2010.64,57,4.17,24.0,0.5
486950936491346,336534356095014,558028288459600,,BOTTLE-SP/AUTO (Discovery),BOTTLE-SP/AUTO (Discovery),close-match,Automatic,11405,1173,480.84,1363.19,44,2.84,35.3,0.45
369056697567588,519847279578167,562285957639523,,ME-VIDEO/BROAD (Hunter),,gifts for 8 year old girls,broad,4399,846,479.78,2161.2,64,4.5,22.2,0.55
537046793426450,327183226582531,383053945554734,,"ME-SBS/BROAD (Discovery, Journal)",,girls journal kit,broad,23254,1248,447.85,1517.54,46,3.39,29.5,0.42
420451428679840,507749748893317,374226294917260,,"FRESH-SP/AUTO (Beige, Discovery)",FRESH - AUTO/LOW BIDS(Beige),loose-match,Automatic,3232,817,440.13,1343.89,27,3.05,32.8,0.35
411807791631319,536631332192043,491479249660851,,BOX - EXACT (white - teen),,teen girl gift,EXACT,36733,340,411.86,258.5,6,0.63,159.3,0.85
486950936491346,336534356095014,418851313566266,,BOTTLE-SP/AUTO (Discovery),BOTTLE-SP/AUTO (Discovery),substitutes,Automatic,11394,759,367.15,910.19,29,2.48,40.3,0.25
424256831364046,395333707404963,476325002554350,,BOX- STORE/ BROAD,,9 year old girl birthday gifts,broad,37229,1726,359.38,1375.43,28,3.83,26.1,0.21
537046793426450,327183226582531,384300851034672,,"ME-SBS/BROAD (Discovery, Journal)",,journal kit for girls ages 8-12,broad,11446,689,359.25,1472.97,44,4.1,24.4,0.35
167698180322285,431691106173282,514421655450818,,"BOX-VIDEO/EXACT (Teen Girl Gifts, Boost)",,teen girl gifts,exact,13569,344,339.2,272.0,5,0.8,124.7,2.0
292848303399755,291025799038676,439648864838275,,FRESH- VIDEO / BROAD (Jenna),,gift for 16 year old girl,broad,4149,553,337.41,1228.13,25,3.64,27.5,0.59
342313119548309,472447908809960,412357927409346,,BRAND - BROAD (FRESH+WHITE),,gifts for 11 year old girl,broad,20362,754,319.54,1382.62,28,4.33,23.1,0.45
436243721018612,382647674939758,464795671985347,,BOTTLE-SP/BROAD,Truth or Dare,truth or dare,BROAD,30683,444,315.8,1076.4,35,3.41,29.3,1.43
424256831364046,395333707404963,381193205800893,,BOX- STORE/ BROAD,,gifts for 12 year old girls,broad,60192,1741,312.15,673.24,13,2.16,46.4,0.2
474287046075083,369705238653820,420496730053978,,ME - Exact - T2 - SP,,journal kit,EXACT,49673,363,306.34,791.76,24,2.58,38.7,0.6
435692261851957,459036452038723,453213535119291,,ME-VIDEO/EXACT (Girls journal),,girls journal,exact,5268,359,287.5,923.72,27,3.21,31.1,0.8
342313119548309,472447908809960,549989054780338,,BRAND - BROAD (FRESH+WHITE),,gifts for 13 year old girl,broad,30830,685,276.06,714.0,14,2.59,38.7,0.45
172187650043615,507673128185300,549071354596583,549071354596583,BOX-SP/PT (Product Defense),BOX-SP/PT (Product Defense),"asin=""B0C1VLXYBP""",ASIN,11011,391,273.44,250.59,5,0.92,109.1,0.75
153696497983692,404165596022195,294010512894617,,"ME-SP/AUTO (Conquest,Purple)",ME-AUTO - purple,loose-match,Automatic,1637,462,273.15,1088.67,32,3.99,25.1,0.4
531456687555062,511166077504094,333361608584542,333361608584542,"ME-SP/PT (Conquest, Competitors)",ME- COMPETITORS (with video),"asin=""B0FDKRTH55""",ASIN,20311,290,257.98,956.71,28,3.71,27.0,0.95
446868628489343,302639242934323,436774906313402,,FRESH-VIDEO/ BROAD,,bath set for teen girls,broad,1327,397,257.21,499.0,10,1.94,51.5,0.84
369056697567588,519847279578167,340917068667544,,ME-VIDEO/BROAD (Hunter),,gifts for tween girls,broad,5421,646,253.33,1242.04,37,4.9,20.4,0.39
342313119548309,472447908809960,472871506551769,,BRAND - BROAD (FRESH+WHITE),,12 year old girl gifts,broad,10521,591,238.89,1020.76,21,4.27,23.4,0.4
446012015657681,404659441401532,361907259761822,361907259761822,BOX- COMPETE (Copycats white),,"asin=""B0FY34F5V1""",ASIN,6197,248,229.84,432.48,7,1.88,53.1,0.55
190681467027940,488669150058568,313977450601967,,"ME-SP/AUTO (Conquest,Pink)",ME-AUTO - pink,loose-match,Automatic,5142,394,226.46,1006.61,30,4.44,22.5,0.4
446868628489343,302639242934323,439017870084365,,FRESH-VIDEO/ BROAD,,teen girl gift box,broad,3572,374,221.25,1203.05,23,5.44,18.4,0.75
488973733209950,416387480620841,326599428720185,,"BOX-SP/AUTO (White, Discovery)",LOLLIBOX WHITE - AUTO,close-match,Automatic,1308,395,211.34,761.6,14,3.6,27.7,0.3
435692261851957,459036452038723,497909354877025,,"ME-VIDEO/EXACT ((Boost, Girls journal)",,journal set for girls,exact,1997,284,206.64,1121.66,34,5.43,18.4,0.9
420451428679840,507749748893317,457829687958495,,"FRESH-SP/AUTO (Beige, Discovery)",FRESH - AUTO/LOW BIDS(Beige),close-match,Automatic,6098,381,197.13,499.0,10,2.53,39.5,0.25
446868628489343,302639242934323,375823550883021,,FRESH-VIDEO/ BROAD,,shower gift set,broad,1199,279,191.78,349.3,7,1.82,54.9,0.6
446012015657681,404659441401532,407599508626953,407599508626953,BOX- COMPETE (Copycats white),,"asin=""B0DJS922KB""",ASIN,6433,262,173.65,272.0,5,1.57,63.8,0.35
214487258364251,467943414509134,478946440670993,,"ME-SP/EXACT (Boost, Girls journal)","ME-SP/EXACT (Boost, Girls journal)",journal for girls,EXACT,3397,73,168.67,329.9,10,1.96,51.1,0.75
537046793426450,327183226582531,394751817213683,,"ME-SBS/BROAD (Discovery, Journal)",,girls journals age 8-10,broad,4910,416,157.99,659.8,20,4.18,23.9,0.35
474287046075083,369705238653820,442465273580677,,ME - Exact - T2 - SP,,journal for girls,EXACT,28776,183,155.72,164.95,5,1.06,94.4,0.6
341550011573799,306508241367089,341473745359121,341473745359121,ME -COMPETE (purple),,"asin=""B0DHCT2XP3""",ASIN,797,143,152.76,527.84,16,3.46,28.9,0.95
491652134548478,310142090670414,321268702442172,,"BRAND-STORE/BROAD (Me,Box,Bottle)",,gift for girls,broad,14538,765,146.02,637.57,16,4.37,22.9,0.2
435692261851957,459036452038723,460069013144719,,ME-VIDEO/EXACT (Girls journal),,craft kits for girls ages 8-12,exact,2113,105,140.11,391.25,12,2.79,35.8,1.2
486950936491346,336534356095014,293551558442831,,BOTTLE-SP/AUTO (Discovery),BOTTLE-SP/AUTO (Discovery),complements,Automatic,2204,139,133.61,29.9,1,0.22,446.9,0.26
446868628489343,302639242934323,387944343511881,,FRESH-VIDEO/ BROAD,,college girl gifts,broad,1682,222,131.62,445.55,9,3.39,29.5,0.6
214487258364251,467943414509134,486420843917428,,"ME-SP/EXACT (Boost, Girls journal)","ME-SP/EXACT (Boost, Girls journal)",girls journal,EXACT,2648,62,124.11,329.9,10,2.66,37.6,0.4
436243721018612,382647674939758,402504132843246,,BOTTLE-SP/BROAD,Truth or Dare,sleepover party games for girls,BROAD,11106,251,120.44,538.2,18,4.47,22.4,0.72
102652064294862,179404377394651,362116726889139,,BRAND-STORE/BROAD (old one),,gifts for tweens girls,broad,5498,374,120.36,454.18,10,3.77,26.5,0.35
435692261851957,459036452038723,420345733116531,,"ME-VIDEO/EXACT ((Boost, Girls journal)",,diary for girls ages 8-12,exact,1449,89,113.84,395.88,12,3.48,28.8,1.2
435692261851957,459036452038723,440053752515188,,ME-VIDEO/EXACT (Girls journal),,journal for girls ages 8-12,exact,1875,105,104.56,428.87,12,4.1,24.4,0.9
435692261851957,459036452038723,477036184647655,,ME-VIDEO/EXACT (Girls journal),,girls journals age 8-10,exact,1166,103,100.92,461.86,13,4.58,21.9,0.88
214487258364251,467943414509134,458188285581316,,"ME-SP/EXACT (Boost, Girls journal)","ME-SP/EXACT (Boost, Girls journal)",diary with lock for girls,EXACT,1024,50,98.33,306.74,8,3.12,32.1,0.85
278096465906874,540298968338807,395425697612080,395425697612080,BOTTLE- COMPETE (Copycats),BOTTLE- COMPETE (Copycats),"ASIN_EXPANDED_FROM=""B0G1G5343H""",ASIN Expanded,5588,129,96.52,0.0,0,0.0,,0.8
369056697567588,519847279578167,339723227202095,,ME- VIDEO/ BROAD,,girls fun stationery,broad,822,283,95.6,263.92,8,2.76,36.2,0.39
214487258364251,467943414509134,522795326376980,,"ME-SP/EXACT (Boost, Girls journal)","ME-SP/EXACT (Boost, Girls journal)",journal for girls ages 8-12,EXACT,3292,38,93.55,32.99,1,0.35,283.6,0.7
102652064294862,179404377394651,82569428923264,,BRAND-STORE/BROAD (old one),,girl birthday gift,broad,7430,284,89.71,354.89,7,3.96,25.3,0.35
250112863473946,547008849186913,535024997501614,535024997501614,ME-SP/PT (Product Defense),ME-SP/PT (Product Defense),"asin=""B0F9X95K5H""",ASIN,2824,129,88.13,483.27,14,5.48,18.2,0.75
486950936491346,336534356095014,418493562710318,,BOTTLE-SP/AUTO (Discovery),BOTTLE-SP/AUTO (Discovery),loose-match,Automatic,1063,309,83.98,529.93,12,6.31,15.8,0.2
435692261851957,459036452038723,372410123425754,,"ME-VIDEO/EXACT ((Boost, Girls journal)",,diary with lock for girls,exact,1047,94,82.72,164.95,5,1.99,50.1,0.8
531456687555062,511166077504094,429636976547669,429636976547669,ME- COMPETITORS (with video),ME- COMPETITORS (with video),"category=""166073011""",Category,2709,122,81.22,263.92,8,3.25,30.8,0.63
258822421490371,149548457304476,179928820721738,,"BOX-SP/PHRASE (Hunter, By Age, Pink)",Ad group 1,gifts for 9 year old girls,PHRASE,844,104,80.51,108.8,2,1.35,74.0,0.7
102652064294862,179404377394651,112184612964860,,BRAND-STORE/BROAD (old one),,gifts for 12 year old girl,broad,3568,241,78.21,330.39,7,4.22,23.7,0.35
446012015657681,404659441401532,358148474841625,358148474841625,BOX- COMPETE (Copycats white),,"asin=""B0DJS9JYLR""",ASIN,2696,143,77.15,380.8,8,4.94,20.3,0.3
250112863473946,547008849186913,555226904876537,555226904876537,ME-SP/PT (Product Defense),ME-SP/PT (Product Defense),"asin=""B0F9XFXQRW""",ASIN,1815,110,76.85,131.96,4,1.72,58.2,0.75
491652134548478,310142090670414,299687679492076,,"BRAND-STORE/BROAD (Me,Box,Bottle)",,teen girl gifts trendy stuff,broad,6085,391,75.34,98.97,3,1.31,76.1,0.2
102652064294862,179404377394651,362390243653017,,"BRAND-STORE/BROAD (Discovery, old one)",,teen girls gifts,broad,1569,260,72.06,332.7,8,4.62,21.7,0.29
153696497983692,404165596022195,285892839219362,,"ME-SP/AUTO (Conquest,Purple)",ME-AUTO - purple,close-match,Automatic,825,109,70.51,612.51,18,8.69,11.5,0.45
214487258364251,467943414509134,452936751765544,,"ME-SP/EXACT (Boost, Girls journal)","ME-SP/EXACT (Boost, Girls journal)",stationary for girls,EXACT,1487,40,70.49,131.96,4,1.87,53.4,0.75
411807791631319,536631332192043,444011341929014,,BOX - EXACT (white - teen),,gifts for teen girls 12-14,EXACT,3427,48,69.49,49.9,1,0.72,139.3,1.0
435692261851957,459036452038723,476491182302948,,ME-VIDEO/EXACT (Girls journal),,stationary for girls,exact,1169,87,67.79,230.93,7,3.41,29.4,1.0
64984933476400,296397057372432,446059050442948,,teenager girl gift ideas,eenager Gift Ideas - Exact,teenager girl gift ideas,EXACT,4110,76,67.76,217.6,4,3.21,31.1,0.75
214487258364251,467943414509134,535942916849839,,"ME-SP/EXACT (Boost, Girls journal)","ME-SP/EXACT (Boost, Girls journal)",diy journal kit for girls 8-14,EXACT,5022,69,67.07,263.92,8,3.93,25.4,0.75
491652134548478,310142090670414,548039290365987,,"BRAND-STORE/BROAD (Me,Box,Bottle)",,empowering gifts for girls,broad,7820,353,65.64,120.38,3,1.83,54.5,0.2
14040466080362,353193873171054,485306033198847,,BOX-SP/PHRASE (Brand Defense),BOX-SP/PHRASE (Brand Defense),happy lolli,PHRASE,6472,134,64.52,893.88,18,13.85,7.2,0.5
190681467027940,488669150058568,453893953816570,,"ME-SP/AUTO (Conquest,Pink)",ME-AUTO - pink,close-match,Automatic,2438,110,63.37,329.9,9,5.21,19.2,0.45
172872442210536,411998814663757,415778898681618,,"BOX-SP/AUTO (Purple, Discovery)",LOLLIBOX PURPLE - AUTO,loose-match,Automatic,728,251,59.45,326.4,6,5.49,18.2,0.25
214487258364251,467943414509134,358213055954525,,"ME-SP/EXACT (Boost, Girls journal)","ME-SP/EXACT (Boost, Girls journal)",diary for girls ages 8-12,EXACT,631,27,59.21,164.95,5,2.79,35.9,0.8
190681467027940,488669150058568,439044848049435,,"ME-SP/AUTO (Conquest,Pink)",ME-AUTO - pink,substitutes,Automatic,1299,159,59.13,263.92,7,4.46,22.4,0.25
292050934590827,402513197410802,309540793212136,,BOTTLE - EXACT - PRODUCT (tween games for girls),,sleepover games for girls 10-12,EXACT,3681,49,56.3,179.4,6,3.19,31.4,0.9
172187650043615,507673128185300,417931081669406,417931081669406,BOX-SP/PT (Product Defense),BOX-SP/PT (Product Defense),"asin=""B09XQ56RK5""",ASIN,814,82,55.91,213.1,4,3.81,26.2,0.75
270478855393981,330914661141003,321455236110924,,"BOX-SP/EXACT (Boost, Easter 2026)","BOX-SP/EXACT (Boost, Easter 2026)",teen easter basket,EXACT,803,57,54.75,54.4,1,0.99,100.6,0.4
270478855393981,330914661141003,398544717094345,,"BOX-SP/EXACT (Boost, Easter 2026)","BOX-SP/EXACT (Boost, Easter 2026)",easter baskets for teens,EXACT,790,55,54.7,163.2,2,2.98,33.5,0.4
342313119548309,472447908809960,478262319688209,,BRAND - BROAD (FRESH+WHITE),,16 year old girl gifts,broad,2842,133,52.71,99.8,2,1.89,52.8,0.4
435692261851957,459036452038723,430123306105353,,"ME-VIDEO/EXACT ((Boost, Girls journal)",,girls diary with lock,exact,360,53,50.78,131.96,4,2.6,38.5,1.0
172187650043615,507673128185300,473725622727097,473725622727097,BOX-SP/PT (Product Defense),BOX-SP/PT (Product Defense),"asin=""B0CR6N3WRC""",ASIN,1024,70,48.81,54.4,1,1.11,89.7,0.75
491652134548478,310142090670414,417323360351451,,"BRAND-STORE/BROAD (Me,Box,Bottle)",,gift for tween girls 11-14,broad,1176,234,47.51,420.94,11,8.86,11.3,0.2
102652064294862,179404377394651,23980150621082,,BRAND-STORE/BROAD (old one),,gifts for teen girls,broad,1681,167,46.71,239.4,6,5.13,19.5,0.29
17390526749894,494143378668151,359194060715369,,"FRESH-SP/AUTO (Pink, Discovery)",FRESH - AUTO/LOW BIDS(Pink),loose-match,Automatic,218,90,44.06,149.7,3,3.4,29.4,0.35
424256831364046,395333707404963,316291949635455,,BOX- STORE/ BROAD,,gifts for 10 year old girls,broad,2044,228,43.04,32.99,1,0.77,130.5,0.2
537046793426450,327183226582531,555874896682237,,ME-STORE/BROAD,,girls scrapbooking kit,broad,780,137,41.18,32.99,1,0.8,124.8,0.35
214487258364251,467943414509134,417571810208864,,"ME-SP/EXACT (Boost, Girls journal)","ME-SP/EXACT (Boost, Girls journal)",girls diary with lock,EXACT,244,18,41.12,65.98,2,1.6,62.3,0.75
491652134548478,310142090670414,289215631684658,,"BRAND-STORE/BROAD (Me,Box,Bottle)",,gift for 9 year old girl,broad,1165,204,40.99,98.97,3,2.41,41.4,0.2
537046793426450,327183226582531,399474918468235,,ME-STORE/BROAD,,best gift for 10 year old girl,broad,297,117,40.5,131.96,4,3.26,30.7,0.35
271418734706306,282024729983256,390057371992418,,BOX-VIDEO/PHRASE (Brand Defense),,happy lolli,exact,290,39,40.23,87.39,2,2.17,46.0,1.5
